Code,Species,CommonName,Family,Form,Syn
DAUN,Danthonia unispicata,onespike oatgrass,Poaceae,GG,
DECA18,Deschampsia cespitosa,tufted hairgrass,Poaceae,GG,
DEDA,Deschampsia danthanoides,annual hairgrass,Poaceae,GG,
DEDE2,Delphinium depauperatum,dwarf larkspur,Ranunculaceae,F,
DEEL,Deschampsia elongata,slender hairgrass,Poaceae,GG,
DEGL,Delphinium glaucum,pale larkspur,Ranunculaceae,F,
DELPH,Delphinium sp.,larkspur species,Ranunculaceae,F,
DEME,Delphinium menziesii,Menzies's larkspur,Ranunculaceae,F,
DENU,Delphinium nudicaule,red larkspur,Ranunculaceae,F,
DENU2,Delphinium nuttallianum,"meadow" or "slim larkspur",Ranunculaceae,F,
DEPI,Descurainia pinnata,western tansymustard,Brassicaceae,F,
DIACF,Dichanthelium acuminatum var. fasciulatum,Pacific panicum,Poaceae,GG,Panicum acuminatum 
DIAR,Dianthus armeria ssp. armeria,grass pink,Caryophyllaceae,F,
DICA14,Dichelostemma capitatum,blue dicks,Asparagaceae,F,
DICO19,Dichelostemma congestum,ookow,Asparagaceae,F,
DIFO,Dicentra formosa,Pacific bleedingheart,Papaveraceae,F,
DIFOO,Dicentra formosa ssp. oregona,Oregon bleedingheart,Papaveraceae,F,
DIFU2,Dipsacus fullonum,wild teasel,Dipsacaceae,F,
PRHO2,Prosartes hookeri,Oregon fairybell,Liliaceae,F,Disporum hookeri
DIMU5,Dichelostemma multiflorum,wild hyacinth,Asparagaceae,F,
DIPA,Dicentra pauciflora,few-flowered bleedingheart,Fumariaceae,F,
DIPU,Digitalis purpurea,foxglove,Plantaginaceae,F,
DISA9,Dipsacus sativus ,Indian teasle,Dipsacaceae,F,
PRSM,Prosartes smithii,Smith's fairbell,Liliaceae,F,Disporum smithii
DOAL,Dodecatheon alpinum,alpine shooting star,Primulaceae,F,
DOBA,Downingia bacigalupii,Bach's downingia,Campanulaceae,F,
DOHE,Dodecatheon hendersonii,Henderson's shooting star,Primulaceae,F,
DOPU,Dodecatheon pulchellum,few-flowered shooting star,Primulaceae,F,
DOYI,Downingia yina,Cascade downingia,Campanulaceae,F,
DRAR3,Dryopteris arguta,coastal wood-fern,Dryopteridaceae,FN,
DRAUS2,Dryopteris austriaca var. spinulosa,mountain wood-fern,Dryopteridaceae,FN,
DREX2,Dryopteris expansa,spreading wood fern,Dryopteridaceae,FN,
DRFI2,Dryopteris filix-mas,male fern,Dryopteridaceae,FN,
DRGL7,Drymocallis glandulosa var. glandulosa,sticky cinquefoil,Rosaceae,F,Potentilla glandulosa ssp. glandulosa
DRRH?,Drymocallis rhomboidea,sticky cinquefoil,Rosaceae,F,Potentilla glandulosa globosa
DRVE2,Draba verna,vernal draba,Brassicaceae,F,
ELAC,Eleochaeris acicularis,spike rush,Cyperaceae,GS,
ELEL5,Elymus elymoides,bottlebrush squirreltail,Poaceae,GG,
ELELC2,Elymus elymoides ssp. californicus,California squirreltail,Poaceae,GG,
ELELE,Elymus elymoides ssp. elymoides,squirreltail,Poaceae,GG,
ELGL,Elymus glaucus,blue wildrye,Poaceae,GG,
THIN6,Thinopyrum intermedium ,intermediate wheatgrass,Poaceae,GG,Elytrigia intermedia
ELLAL,Elymus lanceolatus ssp. lanceolatus,thickspike wheatgrass,Poaceae,GG,
ELPA3,Eleocharis palustris,spike rush,Cyperaceae,GS,Eleocharis macrostachya
ELMO2,Eleocharis montevidensis,sand spike rush,Cyperaceae,GS,
ELMU3,Elymus multisetus,big squirreltail,Poaceae,GG,
ELQU2,Eleocharis quinqueflora,few-flowered spike rush,Cyperaceae,GS,Eleocharis pauciflora
ELPA3,Eleocharis palustris,spike rush,Cyperaceae,GS,Eleocharis macrostachya
ELPA4,Eleocharis parishii,Parish's spike rush,Cyperaceae,GS,
ELQU2,Eleocharis quinqueflora,few-flowered spike rush,Cyperaceae,GS,Eleocharis pauciflora
ENST,Enemion stipitatum,dwarf isopyrum,Ranunculaceae,GG,
CHAN9,Chamerion angustifolium,fireweed,Onagraceae,F,Epilobium angustifolium
EPBR3,Epilobium brachycarpum,parched fireweed,Onagraceae,F,
EPCA3,Epilobium canum,,Onagraceae,F,
EPCIC,Epilobium ciliatum ssp. ciliatum,glandular willow-herb,Onagraceae,F,
EPCIG,Epilobium ciliatum ssp. glandulosum,short-styled willow-herb,Onagraceae,F,
EPDE4,Epilobium densiflorum,,Onagraceae,F,
EPGI,Epipactis gigantea,giant hellegorine,Orchidaceae,F,
EPGLG,Epilobium glaberrimum ssp. glaberrimum,smoothstem willow-herb,Onagraceae,F,
EPILO,Epilobium sp.,willow-herb species,Onagraceae,F,
CHLA13,Chamerion latifolium,dwarf fireweed,Onagraceae,F,Epilobium latifolium
EPLU,Epilobium luteum,yellow willow-herb,Onagraceae,F,
EPMI,Epilobium minutum,small-flowered willow-herb,Onagraceae,F,
EPOR,Epilobium oreganum,Oregon willow-herb,Onagraceae,F,
EPRI,Epilobium rigidum,rigid willow-herb,Onagraceae,F,
EPSI,Epilobium siskiyouense,Siskiyou willow-herb,Onagraceae,F,
EQAR,Equisetum arvense,common horsetail,Equisetaceae,FN,
EQHYA,Equisetum hyemale var. affine,scouring-rush,Equisetaceae,FN,
EQTE,Equisetum telmateia var. braunii,giant horsetail,Equisetaceae,FN,
EQUIS,Equisetum sp.,scouring rush,Equisetaceae,FN,
ERAL3,Erigeron aliceae,Alice fleabane,Asteraceae,F,
ERCAC,Erysimum capitatum var. capitatum,Douglas' wall flower,Brassicaceae,F,Erysimum asperum
ERBLN,Erigeron bloomeri var. nudatus,"scabland fleabane" or "Waldo daisy",Asteraceae,F,
ERCA6,Eriodictyon californicum,yerba santa,Boraginaceae,F,
ERCAC,Erysimum capitatum var. capitatum,Douglas' wall flower,Brassicaceae,F,Erysimum asperum
ERCE,Erigeron cervinus,"Siskiyou daisy" or "deer erigeron",Asteraceae,F,
ERCI6,Erodium cicutarium,"filaree" or "redstem storksbill",Geraniaceae,F,
ERCI7,Erythronium citrinum,lemon fawn-lily,Liliaceae,F,
ERCO12,Eriogonum compositum,arrowleaf buckwheat,Polygonaceae,F,
ERCO4,Erigeron compositus,dwarf mountain fleabane,Asteraceae,F,
ERCOC14,Eremogone congesta var. congesta,dense-flowered sandwort,Caryophyllaceae,F,Arenaria congesta
ERCR4,Eriophorum cringerum,fringer cotton grass,Cyperaceae,F,
ERDI10,Eriogonum diclinum,Janyes Canyon buckwheat,Polygonaceae,F,
ERFI2,Erigeron filifolius,threadleaf fleabane,Asteraceae,F,
ERFOC,Erigeron foliosus var. confinus,leafy daisy,Asteraceae,F,
ERGR16,Ericameria greenei,Green's goldenbush,Asteraceae,F,
ERHE7,Erythronium hendersonii,Henderson's fawn-lily,Liliaceae,F,
ERHO10,Erythronium howellii,Howell's fawn-lily,Liliaceae,F,
ERIGE2,Erigeron sp.,fleabane,Asteraceae,F,
ERIN2,Erigeron inornatus,unadorned fleabane,Asteraceae,F,
ERKL,Erythronium klamathense,Klamath fawnlily,Liliaceae,F,
ERLA6,Eriophyllum lanatum,wooly sunflower,Asteraceae,F,
ERNA10,Ericameria nauseosus,common rabbit-brush,Asteraceae,F,Chrysothamnus nauseosus
ERNU3,Eriogonum nudum,barestem buckwheat,Polygonaceae,F,
EROR4,Erythronium oregonum,Oregon or giant fawn-lily,Liliaceae,F,
EROV,Eriogonum ovalifolium,oval leaved Eriogonum,Polygonaceae,F,
ERPE3,Erigeron peregrinus var. peregrinus,foreign erigeron,Asteraceae,F,
ERPE5,Erigeron petrophilus,cliff daisy,Asteraceae,F,
ERPE6,Eriogonum pendulum,long-stemmed buckwheat,Polygonaceae,F,
ERPE7,Eryngium petiolatum,coyote thistle,Apiaceae,F,
ERPH,Erigeron philadelphicus,,Asteraceae,F,
CRSE11,Croton setiger,turkey mullein,Euphorbiaceae,F,Eremocarpus setigerus
ERSP7,Eriogonum sphaerocephalum,,Polygonaceae,F,
ERTE10,Eriogonum ternatum,Waldo buckwheat,Polygonaceae,F,
ERUM,Eriogonum umbellatum,sulphur buckwheat,Polygonaceae,F,
ERVI5,Eriogonum vimineum,,Polygonaceae,F,
ERYTH3,Erythronium sp.,Fawn Lily,Liliaceae,F,
ESCA,Eschscholtzia caespitosa,gold poppy,Papaveraceae,F,
ESCA2,Eschscholtzia californica,California poppy,Papaveraceae,F,
EUBR12,Eucephalus breweri,Brewer's aster,Asteraceae,F,Aster breweri
EUCR2,Euphorbia crenulata,chinese caps,Euphorbiaceae,F,
EULE14,Eucephalus ledophyllus,Cascade aster,Asteraceae,F,Aster ledophyllus
EUPE6,Euphorbia peplus,petty spurge,Euphorbiaceae,F,
EURA10,Eurbia radulina,rough-leaved aster,Asteraceae,F,Aster radulinus
EUTO4,Eucephalus tomentellus,rayless aster,Asteraceae,F,Aster brickellioides
EUVI8,Eucephalus vialis,Wayside aster,Asteraceae,F,
SCAR7,Schedonorus arundinaceus,tall fescue,Poaceae,GG,Festuca arundinacea
FECA,Festuca californica,California fescue,Poaceae,GG,
FEEL2,Festuca elmeri,Elmer's fescue,Poaceae,GG,
FEID,Festuca idahoensis,Idaho fescue,Poaceae,GG,
FEOC,Festuca occidentalis,western fescue,Poaceae,GG,
SCPR4,Schedonerus pratensis,meadow fescue,Poaceae,GG,Festuca pratensis
FERO,Festuca roemeri,Roemer's fescue,Poaceae,GG,
FERU2,Festuca rubra,red fescue,Poaceae,GG,
FESU,Festuca subulata,bearded fescue,Poaceae,GG,
FESU2,Festuca subuliflora,crinkle-awn fescue,Poaceae,GG,
FEVI,Festuca viridula,green fescue,Poaceae,GG,
FLPR,Floerkea proserpinacoides,false mermaidweed,Limnanthaceae,F,
FRAF2,Fritillaria affinis,checker lily,Liliaceae,F,
FRALN,Frasera albicaulis var. nitida,whitestem frasera,Gentianaceae,F,Swertia albicaulis var. nitida
FRGE,Fritillaria gentneri,Gentner's fritillary,Liliaceae,F,
FRGL,Fritillaria glauca,Siskiyou fritillary,Liliaceae,F,
FRITI,Fritillaria sp.,fritillary species,Liliaceae,F,
FRLA,Fraxinus latifolia,Oregon ash,Oleaceae,TB,
FRAF,Fritillaria affinis,checker lily,Liliaceae,F,Fritillaria lanceolata
FRRE,Fritillaria recurva,scarlet fritillary,Liliaceae,F,
FRUM2,Frasera umpquaensis,Umpqua swertia,Gentianaceae,F,
FRVEB2,Fragaria vesca ssp. bracteata,woods strawberry,Rosaceae,F,
FRVI,Fragaria virginiana,Virginia strawberry,Rosaceae,F,
GAAMS2,Galium ambiguum var. siskiyouense,Yolla bolly bedstraw,Rubiaceae,F,
GAAMS2,Galium ambiguum var. siskiyouense,phlox-leaved bedstraw,Rubiaceae,F,Galium andrewsii
GAAP2,Galium aparine,catchweed bedstraw,Rubiaceae,F,
GABI,Galium bifolium,low mountain bedstraw,Rubiaceae,F,
GABO,Galium bolanderi,"Bolander's" or "gray bedstraw",Rubiaceae,F,
GABOS,Galium boreale ssp. septentrionale,northern bedstraw,Rubiaceae,F,
GABU,Garrya buxifolia,box-leaved silk-tassel,Garryaceae,S,
GATRP,Galium trifidum var. pacificum,small bedstraw,Rubiaceae,F,Galium cymosum
GADIP,Gayophytum diffusum ssp. parviflorum,spreading groundsmoke,Onagraceae,F,
GAFR,Garrya fremontii,Fremont silk-tassel,Garryaceae,S,
GALIU,Galium sp.,bedstraw,Rubiaceae,F,
GAMU5,Galium muricatum,Humbolt bedstraw,Rubiaceae,F,
GAOR,Galium oreganum,Oregon bedstraw,Rubiaceae,F,
GAOV2,Gaultheria ovatifolia,"slender salal" or "wintergreen",Ericaceae,S,
GAPA5,Galium parisiense,wall bedstraw,Rubiaceae,F,
GAPO,Galium porrigens,graceful bedstraw,Rubiaceae,F,
GASH,Gaultheria shallon,salal,Ericaceae,S,
GATR3,Galium triflorum,fragrant bedstraw,Rubiaceae,F,
GATRP,Galium trifidum var. pacificum,small bedstraw,Rubiaceae,F,
GAYOP,Gayophytum sp.,"groundsmoke" or "kithchenweed",Onagraceae,F,
GEDI,Geranium dissectum,cut-leaved geranium,Geraniaceae,F,
GEMA4,Geum macrophylum,Oregon avens,Rosaceae,F,
GEMO,Geranium molle,dovesfoot geranium,Geraniaceae,F,
GEOR2,Geranium oreganum,"western" or "Oregon geranium",Geraniaceae,F,
GEPL6,Gentiana plurisetosa,elegant gentian,Gentianaceae,F,
GERAN,Geranium sp.,geranium,Geraniaceae,F,
GESE2,Gentiana setigera,"Waldo" or "Mendocino gentian",Gentianaceae,F,
NACA6,Navarretia capillaris,smooth-leaved gilia,Polemoniaceae,F,Gilia capillaris
GICA5,Gilia capitata,blue-headed gilia,Polemoniaceae,F,
NASIS,Navarretia sinistra ssp. sinistra,sinister gilia,Polemoniaceae,F,Gilia sinistra ssp. sinistra
GISP3,Githopsis specularioides,common bluecup,Campanulaceae,F,
GLEL,Glyceria elata,tall mannagrass,Poaceae,GG,
GLHE2,Glechoma hederacea,ground ivy,Lamiaceae,F,
GLYCE,Glyceria sp.,mannagrass,Poaceae,GG,
GNAPH,Gnaphalium sp.,cudweed,Asteraceae,F,
GNCA,Gnaphalium californicum,ladie's tobacco,Asteraceae,F,
GNCAT,Pseudognaphalium thermale,slender cudweed,Asteraceae,F,Gnaphalium canescens ssp. thermale
GNCH,Gnaphalium stramineum,cotton batting plant,Asteraceae,F,Gnaphalium chilense
GNPA,Gnaphalium palustre,lowland cudweed,Asteraceae,F,
GNST,Gnaphalium stramineum,cotton batting plant,Asteraceae,F,Gnaphalium chilense
GOOB2,Goodyera oblongifolia,rattlesnake-plantain,Orchidaceae,F,
GREB,Gratiola ebracteata,bractless hedgehyssop,Plantaginaceae,F,
GRNA,Grindelia nana var. nana,Idaho gumplant,Asteraceae,F,
HAAL2,Hastingsia alba,white-flowered rush lily,Asparagaceae,F,
HABRA2,Hastingsia bracteosa var. atropurpurea,purple-flowered rush lily,Asparagaceae,F,Hastingsia atropupurea
HABE,Hackelia bella,large flowered hackelia,Boraginaceae,F,
HABRB,Hastingsia bracteosa var. bracteosa,large-flowered rush lily,Asparagaceae,F,
HABRA2,Hastingsia bracteosa var. atropurpurea,purple-flowered rush lily,Asparagaceae,F,Hastingsia atropupurea
HACA,Hackelia californica,California stickseed,Boraginaceae,F,
HAMI,Hackelia micrantha,Jessica's tickweed,Boraginaceae,F,
HAAL2,Hastingsia alba,white-flowered rush lily,Asparagaceae,F,Hastingia serpenticola
HAWHD2,Hazardia whitneyi var. discoidea,Whitney's haplopappus,Asteraceae,F,
HEACR,Hesperevax acaulis var. robustior,robust evax,Asteraceae,F,
HEBI,Helenium bigelovii,Bigelow's sneezeweed,Asteraceae,F,
HEBO3,Helianthus bolanderi,Bolander's sunflower,Asteraceae,F,
HECH,Heuchara chlorantha,tall alumroot,Saxifragaceae,F,
HECO6,Hemitomes congestum,gnome plant,Ericaceae,F,
HECO7,Hemizonia congesta ssp. clevelandii ,hayfield tarweed,Asteraceae,F,
HECOC6,Hemizonia congesta ssp. clevelandii,hayfield tarweed,Asteraceae,F,
HEFI,Centromadia fitchii,Fitch's spikeweed,Asteraceae,F,Hemizonia fitchii
HEGL5,Heuchera glabra,alpine alumroot,Saxifragaceae,F,
HEMA80,Heracleum maximum,common cowparsnip,Apiaceae,F,Heracleum lanatum
HEMA80,Heracleum maximum,common cowparsnip,Apiaceae,F,Heracleum lanatum
HEMI20,Hemizonella minima,small-head tarweed,Asteraceae,F,Madia minima
HEMI7,Heuchera micrantha,smallflower alumroot,Saxifragaceae,F,
HEMI9,Hesperolinon micranthum,threadstem flax,Linaceae,F,
HEMIZ,Hemizonia sp.,tarweed,Asteraceae,F,
HEPU6,Hesperochiron pumilus,dwarf hesperochiron,Boraginaceae,F,
HERA3,Heterocodon rariflorum,,Campanulaceae,F,
HESPB,Hesperevax sparsiflora var. brevifolia,short-leaved evax,Asteraceae,F,
HIAL2,Hieracium albiflorum,white-flowered hawkweed,Asteraceae,F,
HIBO,Hieracium bolanderi,Bolander's hawkweed,Asteraceae,F,
HIERA,Hieracium sp.,hawkweed,Asteraceae,F,
HIGR,Hieracium gracile,slender hawkweed,Asteraceae,F,
HIGR2,Hieracium greenei,Greene's hawkweed,Asteraceae,F,
HIOC,Hierochloe occidentalis,western vanilla grass,Poaceae,GG,
HISC2,Hieracium scouleri,Scouler's hawkweed,Asteraceae,F,
HOBR2,Hordeum brachyantherum,meadow barley,Poaceae,GG,
HOCON,Horkelia congesta ssp. nemorosa,Josephine horkelia,Rosaceae,F,
HODA,Horkelia daucifolia,carrot-leaved horkelia,Rosaceae,F,
HODI,Holodiscus discolor,creambush oceanspray,Rosaceae,S,
HOFU,Horkelia fusca,dusky horkelia,Rosaceae,F,
HOHE2,Horkelia hendersonii,Henderson's horkelia,Rosaceae,F,
HOJU,Hordeum jubatum,foxtail barley,Poaceae,GG,
HOLA,Holcus lanatus,common velvet-grass,Poaceae,GG,
HOMAG,Hordeum marinum ssp. gussoneanum,Mediterranean barley,Poaceae,GG,
HOMI3,Holodiscus microphyllus,dwarf oceanspray,Rosaceae,S,
HORKE,Horkelia sp.,horkelia,Rosaceae,F,
HOSE,Horkelia sericata,silky horkelia,Rosaceae,F,
HOTRT,Horkelia tridentata ssp. tridentata,three-toothed horkelia,Rosaceae,F,
HOUM,Holosteum umbellatum,jagged chickweed,Caryophyllaceae,F,
HYAN2,Hypericum anagalloides,tinkers penny,Hypericaceae,F,
HYCA4,Hydrophyllum capitatum,ballhead waterleaf,Boraginaceae,F,
HYFEA,Hydrophyllum fendleri var. albifrons,Fendler's waterleaf,Boraginaceae,F,
HYSC5,Hypericum scouleri,Scouler's St. John's Wort,Hypericaceae,F,Hypericum formosum
HYGL2,Hypochaeris glabra,false dandelion,Asteraceae,F,
HYOC,Hydrophyllum occidentale,California waterleaf,Boraginaceae,F,
HYPE,Hypericum perforatum,Klamathweed,Hypericaceae,F,
HYRA3,Hypochaeris radicata,false dandilion,Asteraceae,F,
HYSC5,Hypericum scouleri,Scouler's St. John's Wort,Hypericaceae,F,Hypericum formosum
HYTE,Hydrophyllum tenuipes,Pacific waterleaf,Boraginaceae,F,
IDSC,Idahoa scapigera,oldstem idahoa,Brassicaceae,F,
ILLA2,Iliamna latibracteata,California globe-mallow,Malvaceae,F,
IPAG,Ipomopsis aggregata,scarlet gilia,Polemoniaceae,F,
IRBR,Iris bracteata,Siskiyou iris,Iridaceae,F,
IRCH,Iris chrysophylla,yellow-leaved iris,Iridaceae,F,
IRIN,Iris innominata,golden iris,Iridaceae,F,
IRIS,Iris sp.,iris,Iridaceae,F,
IRMI,Iris missouriensis,Rocky Mountain Iris,Iridaceae,F,
IRTE,Iris tenax,Oregon iris,Iridaceae,F,
ISNU,Isoetes nuttallii,Nuttall's quillwort,Isoetaceae,F,
JUAC,Juncus acuminatus,tapertip rush,Juncaceae,GR,
JUBA,Juncus balticus,Baltic rush,Juncaceae,GR,
JUBO,Juncus bolanderi,Bolander's rush,Juncaceae,GR,
JUBU,Juncus bufonius,toad rush,Juncaceae,GR,
JUCO2,Juncus confusus,Colorado rush,Juncaceae,GR,
JUCO6,Juniperus communis var. saxatilis,common juniper,Cupressaceae,S,
JUEF,Juncus effusus,common rush,Juncaceae,GR,
JUEN,Juncus ensifolius,dagger-leaved rush,Juncaceae,GR,
JUNCU,Juncus sp.,rush,Juncaceae,GR,
JUOC,Juniperus occidentalis,western juniper,Cupressaceae,TC,
JUOR,Juncus orthophyllus,straight-leaved rush,Juncaceae,GR,
JUOX,Juncus oxymeris,pointed rush,Juncaceae,GR,
JUPA,Juncus parryi,Parry's rush,Juncaceae,GR,
JUPA2,Juncus pattens,spreading rush,Juncaceae,GR,
JUSA,Juncus saximontanus,Iris-leaved rush,Juncaceae,GR,Juncus xiphioides
JUTE,Juncus tenuis,slender rush,Juncaceae,GR,
JUSA,Juncus saximontanus,Iris-leaved rush,Juncaceae,GR,Juncus xiphioides
KALE,Kalmiopsis leachiana,kalmiopsis,Ericaceae,S,
KEGA,Kelloggia galioides,kelloggia,Rubiaceae,F,
KELE,Keckiella lemmonii,bush beardtongue,Plantaginaceae,F,
KOMA,Koeleria macrantha,June grass,Poaceae,GG,Koeleria cristata
KOHO?,Kopsiopsis hookeri,small groundcone,Orobanchaceae,F,Boschniakia hookeri
KOMA,Koeleria macrantha,June grass,Poaceae,GG,
KOST?,Kopsiopsis strobilacea,California groundcone,Orobanchaceae,F,Boschniakia strobilacea
LABI,Lactuca biennis,tall blue lettuce,Asteraceae,F,
LACA7,Lasthenia californica,goldfields,Asteraceae,F,
LACO3,Lapsana communis,nipplewort,Asteraceae,F,
LADE3,Lathyrus delnorticus,Del Norte pea,Fabaceae,F,
LALA4,Lathyrus latifolius,everlasting pea,Fabaceae,F,
LALAL2,Lathyrus lanszwertii var. lanszwertii,thick-leaved pea,Fabaceae,F,
LATR,Lathyrus tracyi,thick-leaved pea,Fabaceae,F,Lathyrus lanszwertii var. tracyi
LAMU,Mycelis muralis,wall-lettuce,Asteraceae,F,Lactuca muralis
LANE3,Lathyrus nevadensis,Nevada pea,Fabaceae,F,
LAPA4,Lathyrus palustris,marsh pea,Fabaceae,F,
LAPO3,Lathyrus polyphyllus,leafy peavine,Fabaceae,F,
LASE,Lactuca serriola,prickly lettuce,Asteraceae,F,
LASU,Lathyrus sulphureus,sulphur pea,Fabaceae,F,
LATO,Lathyrus torreyi,Torrey's pea,Fabaceae,F,
LATR,Lathyrus tracyi,thick-leaved pea,Fabaceae,F,Lathyrus lanszwertii var. tracyi
LEBI8,Leptosiphon bicolor,bicolored linanthus,Polemoniaceae,F,Linanthus bicolor
LEBO9,Leptosiphon bolanderi,Baker's linanthus,Polemoniaceae,F,Linanthus bolanderi
LECA5,Lepidium campestre,poormans peppergrass,Brassicaceae,F,
LECI4,Leymus cinereus,basin wildrye,Poaceae,GG,
LECI18,Leptosiphon ciliatus,wisker brush,Polemoniaceae,F,Linanthus ciliatus
LECOH2,Lewisia cotyledon var. howellii,Howell's lewisia,Montiaceae,F,
LEDA,Leucothoe davisiae,Sierra laurel,Ericaceae,S,
RHCO18,Rhododendron columbianum,western Labrador tea,Ericaceae,S,Ledum glandulosum
LEHA11,Leptosiphon harknessii,Harkness' linanthus,Polemoniaceae,F,Linanthus harknessii
LEMI3,Lemna minor,common duckweed,Araceae,F,
LENI,Lepidium nitidum,shinning peppergrass,Brassicaceae,F,
LEOP,Lewisia oppositifolia,opposite-leaved lewisia,Montiaceae,F,
LEVU,Leucanthemum vulgare,oxeye daisy,Asteraceae,F,Chrysanthemum vulgare
LIAF,Lithophragma affine,woodland star,Saxifragaceae,F,
LIALG?,Limnanthes alba var. gracilis,slender meadow-foam,Limnanthaceae,F,Limnanthes gracilis var. gracilis
LIAP,Ligusticum apiifolium,parsley-leaved licorice-root,Apiaceae,F,
LEBI8,Leptosiphon bicolor,bicolored linanthus,Polemoniaceae,F,Linanthus bicolor
LIBI5,Linum bienne,mediterranean flax,Linaceae,F,
LIBO,Lilium bolanderi,Bolander's lily,Liliaceae,F,
LEBO9,Leptosiphon bolanderi,Baker's linanthus,Polemoniaceae,F,Linanthus bolanderi
LIBOL,Linnaea borealis var. longiflora,wester twinflower,Linnaeaceae,F,
LICA,Ligusticum californicum,California licorice root,Apiaceae,F,
LICA10,Listera caurina,northwest listera,Orchidaceae,F,
LICA11,Lithospermum californicum,California stoneseed,Boraginaceae,F,
LICA21,Lithophragma campanulatum,large-flowered hill star,Saxifragaceae,F,
LECI18,Leptosiphon ciliatus,wisker brush,Polemoniaceae,F,Linanthus ciliatus
LICO,Lilium columbianum,tiger lily,Liliaceae,F,
LICO6,Listera cordata,heartleaf twayblade,Orchidaceae,F,
LIDAD,Linaria dalmatica ssp. dalmatica,dalmation toadflax,Plantaginaceae,F,
LIDE3,Lithocarpus densiflorus ,tanoak,Fagaceae,TB,
LIDEE,Lithocarpus densiflora var. echinoides,shrub tanoak,Fagaceae,TB,
LIFL2,Limnanthes floccosa,wooly meadow-foam,Limnanthaceae,F,
LIFLB,Limnanthes floccosa ssp. bellingeriana,Bellinger's meadow-foam,Limnanthaceae,F,
LIFLF,Limnanthes floccosa ssp. floccosa,wooly meadowfoam,Limnanthaceae,F,
LIDAD,Linaria dalmatica ssp. dalmatica,dalmation toadflax,Plantaginaceae,F,Linaria genistifolia ssp. dalmatica
LIGL2,Lithophragma glabrum,bulbous woodland-star,Saxifragaceae,F,
LIGR,Ligusticum grayi,Gray's licorice-root,Apiaceae,F,
LIALG?,Limnanthes alba var. gracilis,slender meadow-foam,Limnanthaceae,F,Limnanthes gracilis var. gracilis
LEHA11,Leptosiphon harknessii,Harkness' linanthus,Polemoniaceae,F,Linanthus harknessii
LICA21,Lithophragma campanulatum,large-flowered hill star,Saxifragaceae,F,Lithophragma heterophyllum
LILEL2,Linum lewisii var. lewisii,prairie flax,Linaceae,F,
LILIU,Lilium sp.,lily,Liliaceae,F,
LIPA5,Lithophragma parviflora,prairie star,Saxifragaceae,F,
LIPAS,Lilium pardalinum ssp. shastense,Shasta lily,Liliaceae,F,
LIPAV,Lilium pardalinum ssp. vollmeri,Vollmer's lily,Liliaceae,F,
LIPAW2,Lilium pardalinum ssp. wigginsii,Wiggin's lily,Liliaceae,F,
LIPE2,Linum perenne,western blue flax,Linaceae,F,
LIRU,Lilium rubescens,redwood lily,Liliaceae,F,
LIVU2,Linaria vulgaris,butter-and-eggs,Plantaginaceae,F,
LIWA,Lilium washingtonianum,Washington lily,Liliaceae,F,
LOAB,Lotus aboriginus,rosy lotus,Fabaceae,F,
LOCA3,Lomatium califoricum,California liptotaenia,Apiaceae,F,
LOCI3,Lonicera ciliosa,orange honeysuckle,Caprifoliaceae,V,
LOCO5,Lonicera conjugialis,purple-flower honeysuckle,Caprifoliaceae,V,
LOCO6,Lotus corniculatus,birdsfoot lotus,Fabaceae,F,
LOCO8,Lomatium cookii,Cook's parsley,Apiaceae,F,
LOCR,Lotus crassifolius,big deervetch,Fabaceae,F,
LODE,Lotus denticulatus,riverbar bird's foot trefoil,Fabaceae,F,
LODI,Lomatium dissectum,lace-leaved lomatium,Apiaceae,F,
LOEN,Lomatium engelmannii,Engelmann's desertparsley,Apiaceae,F,
LOFO2,Lotus formosissimus,bicolored deervetch,Fabaceae,F,
LOHA,Lomatium hallii,canyon desert parsley,Apiaceae,F,
LOHI2,Lonicera hispidula,hairy honeysuckle,Caprifoliaceae,V,
LOHO,Lomatium howellii,Howell's biscuit root,Apiaceae,F,
LOHU,Lotus humistratus,hill Lotus,Fabaceae,F,
LOIN4,Lonicera interrupta,chaparral honeysuckle,Caprifoliaceae,V,
LOMA3,Lomatium macrocarpum,giant-seeded lomatium,Apiaceae,F,
LOMA4,Lomatium martindalei,few-fruited biscuit-root,Apiaceae,F,
LOMI,Lotus micranthus,small-flowered deervetch,Fabaceae,F,
LONED,Lotus nevadensis var. douglasii,Nevada deervetch,Fabaceae,F,
LONU2,Lomatium nudicaule,pestle lomatium,Apiaceae,F,
LOOB2,Lotus oblongifolius,Torrey's lotus,Fabaceae,F,
LOPE,Lolium perenne,perenial ryegrass,Poaceae,GG,
LOPI2,Lotus pinnatus,bog lotus,Fabaceae,F,
LOPU3,Lotus purshianus,Spanish lotus,Fabaceae,F,
LOST3,Lotus stipularis,stipuled trefoil,Fabaceae,F,
LOTR2,Lomatium triternatum,nine-leaf biscuit-root,Apiaceae,F,
LOTUS,Lotus sp.,,Fabaceae,F,
LOUT,Lomatium utriculatum,spring gold,Apiaceae,F,
LUAL3,Lupinus albicaulis,pine lupine,Fabaceae,F,
LUAL4,Lupinus albifrons,white-leaved lupine,Fabaceae,F,
LUAN2,Lupinus andersonii,Anderson's lupine,Fabaceae,F,
LUAR6,Lupinus arbustus,longspur lupine,Fabaceae,F,
